STATION,TIME,X,Y,VALUE
10217,2018070400,146.3873,-38.23929,79.7
10217,2018070323,146.3873,-38.23929,75.6
10011,2018060200,146.5315,-38.19428,70.5
10001,2018050110,145.0306,-37.77841,70.2
10001,2018062800,145.0306,-37.77841,70.2
10239,2018061022,144.97,-37.8074,69.7
10001,2018062723,145.0306,-37.77841,69.2
10239,2018062812,144.97,-37.8074,68.4
10001,2018062721,145.0306,-37.77841,67.3
10011,2018060201,146.5315,-38.19428,67.3
10001,2018050109,145.0306,-37.77841,66.9
10001,2018062722,145.0306,-37.77841,66.5
10001,2018050111,145.0306,-37.77841,66.4
10011,2018092321,146.5315,-38.19428,66.2
10217,2018050118,146.3873,-38.23929,65.8
10239,2018050110,144.97,-37.8074,65.5
10217,2018050119,146.3873,-38.23929,64.8
10017,2018050119,146.4245,-38.22939,64.2
10001,2018062900,145.0306,-37.77841,63.9
10017,2018050118,146.4245,-38.22939,62.8
10218,2018050103,146.2583,-38.18647,62
10011,2018060123,146.5315,-38.19428,61.9
10217,2018070401,146.3873,-38.23929,61.6
10239,2018050111,144.97,-37.8074,61.1
10239,2018042011,144.97,-37.8074,60.8
10001,2018062901,145.0306,-37.77841,60.4
10217,2018070322,146.3873,-38.23929,60.4
10011,2018050118,146.5315,-38.19428,60.3
10218,2018050104,146.2583,-38.18647,60.2
10001,2018061021,145.0306,-37.77841,59.7
10001,2018062801,145.0306,-37.77841,59.7
10001,2018062823,145.0306,-37.77841,59.4
10001,2018061023,145.0306,-37.77841,58.5
10239,2018103118,144.97,-37.8074,58.2
10001,2018062720,145.0306,-37.77841,58
10001,2018061022,145.0306,-37.77841,57.9
10107,2018062812,144.3703,-38.17356,57.2
10011,2018050117,146.5315,-38.19428,57
10218,2018050102,146.2583,-38.18647,56.8
10239,2018042123,144.97,-37.8074,56.2
10001,2018050108,145.0306,-37.77841,56
10239,2018042201,144.97,-37.8074,55.3
10239,2018042012,144.97,-37.8074,55.2
10001,2018062822,145.0306,-37.77841,55.1
10001,2018062817,145.0306,-37.77841,54.7
10218,2018050105,146.2583,-38.18647,54.7
10239,2018062813,144.97,-37.8074,54.5
10239,2018042202,144.97,-37.8074,53.4
10011,2018060202,146.5315,-38.19428,53.3
10001,2018061100,145.0306,-37.77841,52.9
10001,2018062821,145.0306,-37.77841,52.9
10218,2018120203,146.2583,-38.18647,52.8
10217,2018050117,146.3873,-38.23929,52.2
10001,2018050112,145.0306,-37.77841,52.1
10218,2018042305,146.2583,-38.18647,52.1
10239,2018062821,144.97,-37.8074,52
10239,2018071321,144.97,-37.8074,51.8
10001,2018061020,145.0306,-37.77841,51.4
10001,2018062816,145.0306,-37.77841,51.3
10001,2018062818,145.0306,-37.77841,51.1
10239,2018050109,144.97,-37.8074,51
10239,2018042120,144.97,-37.8074,50.9
10239,2018042122,144.97,-37.8074,50.9
10001,2018062902,145.0306,-37.77841,50.8
10011,2018052603,146.5315,-38.19428,50.6
10011,2018050119,146.5315,-38.19428,50.5
10239,2018042010,144.97,-37.8074,50.5
10218,2018042306,146.2583,-38.18647,50.4
10001,2018050107,145.0306,-37.77841,50.2
10017,2018050120,146.4245,-38.22939,50.2
10218,2018031116,146.2583,-38.18647,50.2
10239,2018042200,144.97,-37.8074,50.2
10001,2018062819,145.0306,-37.77841,50.1
10001,2018062820,145.0306,-37.77841,50
10239,2018062801,144.97,-37.8074,49.8
10219,2018051023,146.4149,-38.30431,49.6
10239,2018042203,144.97,-37.8074,49.5
10218,2018050108,146.2583,-38.18647,49.4
10011,2018052602,146.5315,-38.19428,49.3
10239,2018062722,144.97,-37.8074,49.3
10239,2018042208,144.97,-37.8074,49.2
10011,2018060122,146.5315,-38.19428,49.1
10218,2018082603,146.2583,-38.18647,48.8
10107,2018062813,144.3703,-38.17356,48.7
10239,2018011309,144.97,-37.8074,48.6
10239,2018042207,144.97,-37.8074,48.6
10239,2018010610,144.97,-37.8074,48.5
10239,2018061023,144.97,-37.8074,48.4
10217,2018050120,146.3873,-38.23929,48.3
